gse	rnk_list	drug	tissue_type	cell_type	cell_line	moa	MAFF_rank	CCNE2_rank	MAFF_logFC	CCNE2_logFC
GSE41315	GSE41315_DEG_Expt4_Control_vs_Group1	EI1	"blood, lymphoid"	cell line	DLBCL	PRC2 inhibitor	16618	16702	-1.094895048	-1.22198454
GSE41364	GSE41364_DEG_Expt1_Control_vs_Group1	5-Aza	colon	cell line	HT-29	DNA methyltransferase inhibitor	1294	46	0.545939159	2.748480011
GSE41364	GSE41364_DEG_Expt1_Control_vs_Group2	5-Aza	colon	cell line	HT-29	DNA methyltransferase inhibitor	6849	7	0.04153766	2.394601906
GSE42344	GSE42344_DEG_Expt1_Control_vs_Group1	JS-K	"blood, lymphoid"	cell line	unknown	NO donor 	23	318	1.291949415	0.431086027
GSE42344	GSE42344_DEG_Expt1_Control_vs_Group2	JS-K	"blood, lymphoid"	cell line	unknown	NO donor 	12	121	2.093172758	0.942638024
GSE42344	GSE42344_DEG_Expt1_Control_vs_Group3	JS-K	"blood, lymphoid"	cell line	unknown	NO donor 	18	16314	2.852392629	-1.08494318
GSE42762	GSE42762_DEG_Expt1_Control_vs_Group1	PI-103	brain	cell line	SY5Y-TetR-FOXO3A	PI3K inhibitor	433	16391	0.458420463	-0.394628063
GSE43010	GSE43010_DEG_Expt1_Control_vs_Group1	vorinostat	skin	cell line	BJ	HDAC inhibitor	16198	16623	-1.112088685	-1.656597601
GSE43010	GSE43010_DEG_Expt2_Control_vs_Group1	vorinostat	skin	cell line	BJ	HDAC inhibitor	15311	13488	-0.755141123	-0.286827444
GSE43010	GSE43010_DEG_Expt3_Control_vs_Group1	vorinostat	skin	cell line	BJ	HDAC inhibitor	12314	16080	-0.121559356	-0.622591076
GSE43998	GSE43998_DEG_Expt1_Control_vs_Group1	estradiol	"blood, myeloid"	cell line	K562	estrogen receptor agonist	206	194	0.75957781	0.792484877
GSE44596	GSE44596_DEG_Expt1_Control_vs_Group1	SsnB	endothelial	cell line	HUVEC	Other	333	16808	0.445522676	-1.556767699
GSE44905	GSE44905_DEG_Expt1_Control_vs_Group1	DHT	prostate	cell line	LNCaP	androgen receptor agonist	8547	16872	0.007484405	-1.621453936
GSE44905	GSE44905_DEG_Expt1_Control_vs_Group2	enzalutamide	prostate	cell line	LNCaP	androgen receptor antagonist	3295	15324	0.131550695	-0.256005427
GSE44905	GSE44905_DEG_Expt1_Control_vs_Group3	enzalutamide	prostate	cell line	LNCaP	androgen receptor antagonist	5107	16490	0.069108034	-0.372038492
GSE44905	GSE44905_DEG_Expt1_Control_vs_Group4	DHT|enzalutamide	prostate	cell line	LNCaP	androgen receptor agonist|androgen receptor antagonist	9541	16806	-0.022255454	-0.766297186
GSE44905	GSE44905_DEG_Expt1_Control_vs_Group5	DHT|enzalutamide	prostate	cell line	LNCaP	androgen receptor agonist|androgen receptor antagonist	10868	16746	-0.055737236	-0.536886042
GSE44946	GSE44946_DEG_Expt1_Control_vs_Group1	BRD7552	pancreatic	cell line	PANC-1	PDX1 inducer	16031	14017	-0.43933624	-0.237910613
GSE45029	GSE45029_DEG_Expt1_Control_vs_Group1	doxycycline	breast	cell line	MCF12A	metalloproteinase inhibitor	2850	16414	0.080706171	-0.174464247
GSE45197	GSE45197_DEG_Expt1_Control_vs_Group1	AGI-5198	brain	cell line	TS603	isocitrate dehydrogenase inhibitor	5076	12559	0.066891915	-0.085122251
GSE45197	GSE45197_DEG_Expt2_Control_vs_Group1	AGI-5198	brain	cell line	TS603	isocitrate dehydrogenase inhibitor	5328	533	0.0580628	0.316899873
GSE45197	GSE45197_DEG_Expt2_Control_vs_Group2	AGI-5198	brain	cell line	TS603	isocitrate dehydrogenase inhibitor	7866	2325	0.031290471	0.167664014
GSE45417	GSE45417_DEG_Expt1_Control_vs_Group1	PMA	lymph	cell line	U937	PKC activator	95	16714	3.186167734	-1.959359627
GSE46819	GSE46819_DEG_Expt1_Control_vs_Group1	BV6	"blood, myeloid"	primary		IAP antagonist	136	16378	0.642126985	-1.016174245
GSE46924	GSE46924_DEG_Expt1_Control_vs_Group1	E2	breast	cell line	MCF7	estrogen receptor agonist	7773	145	0.00654829	1.477838126
GSE4773	GSE4773_DEG_Expt1_Control_vs_Group1	rotenone	brain	cell line	SK-N-MC	Other	126	59	0.562705999	0.700800644
GSE48573	GSE48573_DEG_Expt1_Control_vs_Group1	9cis-RA	"blood, myeloid"	primary		retinoid receptor agonist	12054	8948	-0.101839429	-0.026539336
GSE48573	GSE48573_DEG_Expt1_Control_vs_Group2	R-RA	"blood, myeloid"	primary		retinoid receptor ligand	3565	3816	0.1250274	0.11436663
GSE48573	GSE48573_DEG_Expt1_Control_vs_Group3	S-RA	"blood, myeloid"	primary		retinoid receptor ligand	2627	3928	0.151745547	0.093875906
GSE48573	GSE48573_DEG_Expt1_Control_vs_Group4	RSG	"blood, myeloid"	primary		PPAR receptor agonist	677	9876	0.295104558	-0.037843839
GSE48573	GSE48573_DEG_Expt1_Control_vs_Group5	GW1516	"blood, myeloid"	primary		PPAR receptor agonist	2108	7566	0.129753539	0.001447867
GSE48573	GSE48573_DEG_Expt1_Control_vs_Group6	GW13965	"blood, myeloid"	primary		LXR agonist	3784	6399	0.074667185	0.017687187
GSE48573	GSE48573_DEG_Expt2_Control_vs_Group1	AM580	"blood, myeloid"	primary		retinoid receptor agonist	16700	4817	-0.743110548	0.092185676
GSE49284	GSE49284_DEG_Expt1_Control_vs_Group1	EPZ6438	"blood, lymphoid"	cell line	WSU-DLCL2	histone lysine methyltransferase inhibitor	12764	16107	-0.109351151	-0.27283184
GSE49284	GSE49284_DEG_Expt1_Control_vs_Group2	EPZ6438	"blood, lymphoid"	cell line	WSU-DLCL2	histone lysine methyltransferase inhibitor	15123	16783	-0.317972124	-0.836618823
GSE49284	GSE49284_DEG_Expt10_Control_vs_Group1	EPZ6438	"blood, lymphoid"	cell line	Pfeiffer	histone lysine methyltransferase inhibitor	1044	14060	0.358763869	-0.250150418
GSE49284	GSE49284_DEG_Expt10_Control_vs_Group2	EPZ6438	"blood, lymphoid"	cell line	Pfeiffer	histone lysine methyltransferase inhibitor	5497	16641	0.067614539	-0.328528784
GSE49284	GSE49284_DEG_Expt11_Control_vs_Group1	EPZ6438	"blood, lymphoid"	cell line	SU-DHL6	histone lysine methyltransferase inhibitor	9872	16534	-0.086697836	-0.492039898
GSE49284	GSE49284_DEG_Expt11_Control_vs_Group2	EPZ6438	"blood, lymphoid"	cell line	SU-DHL6	histone lysine methyltransferase inhibitor	13600	16699	-0.344411899	-1.304494269
GSE49284	GSE49284_DEG_Expt12_Control_vs_Group1	EPZ6438	"blood, lymphoid"	cell line	Karpas422	histone lysine methyltransferase inhibitor	16137	15144	-0.600314029	-0.374121638
GSE49284	GSE49284_DEG_Expt12_Control_vs_Group2	EPZ6438	"blood, lymphoid"	cell line	Karpas422	histone lysine methyltransferase inhibitor	16434	16764	-1.06372791	-1.55384169
GSE49284	GSE49284_DEG_Expt2_Control_vs_Group1	EPZ6438	"blood, lymphoid"	cell line	Pfeiffer	histone lysine methyltransferase inhibitor	13997	519	-0.110134258	0.28459985
GSE49284	GSE49284_DEG_Expt2_Control_vs_Group2	EPZ6438	"blood, lymphoid"	cell line	Pfeiffer	histone lysine methyltransferase inhibitor	13440	470	-0.103760484	0.312604929
GSE49284	GSE49284_DEG_Expt3_Control_vs_Group1	EPZ6438	"blood, lymphoid"	cell line	SU-DHL6	histone lysine methyltransferase inhibitor	12037	4068	-0.050957577	0.16549409
GSE49284	GSE49284_DEG_Expt3_Control_vs_Group2	EPZ6438	"blood, lymphoid"	cell line	SU-DHL6	histone lysine methyltransferase inhibitor	8181	10203	0.049450428	-0.005555445
GSE49284	GSE49284_DEG_Expt4_Control_vs_Group1	EPZ6438	"blood, lymphoid"	cell line	Karpas422	histone lysine methyltransferase inhibitor	8801	8620	-0.024413964	-0.020771422
GSE49284	GSE49284_DEG_Expt4_Control_vs_Group2	EPZ6438	"blood, lymphoid"	cell line	Karpas422	histone lysine methyltransferase inhibitor	16606	11772	-0.409369668	-0.095962254
GSE49284	GSE49284_DEG_Expt5_Control_vs_Group1	EPZ6438	"blood, lymphoid"	cell line	WSU-DLCL2	histone lysine methyltransferase inhibitor	16207	16735	-0.584088033	-1.179029082
GSE49284	GSE49284_DEG_Expt5_Control_vs_Group2	EPZ6438	"blood, lymphoid"	cell line	WSU-DLCL2	histone lysine methyltransferase inhibitor	15603	16764	-0.451942631	-1.642042138
GSE49284	GSE49284_DEG_Expt6_Control_vs_Group1	EPZ6438	"blood, lymphoid"	cell line	Pfeiffer	histone lysine methyltransferase inhibitor	219	2282	0.343348229	0.154021454
GSE49284	GSE49284_DEG_Expt6_Control_vs_Group2	EPZ6438	"blood, lymphoid"	cell line	Pfeiffer	histone lysine methyltransferase inhibitor	6095	1473	0.058448547	0.238588299
GSE49284	GSE49284_DEG_Expt7_Control_vs_Group1	EPZ6438	"blood, lymphoid"	cell line	SU-DHL6	histone lysine methyltransferase inhibitor	11660	12777	-0.101657757	-0.130606941
GSE49284	GSE49284_DEG_Expt7_Control_vs_Group2	EPZ6438	"blood, lymphoid"	cell line	SU-DHL6	histone lysine methyltransferase inhibitor	15909	16675	-0.389487498	-0.608170201
GSE49284	GSE49284_DEG_Expt8_Control_vs_Group1	EPZ6438	"blood, lymphoid"	cell line	Karpas422	histone lysine methyltransferase inhibitor	16635	3195	-0.404859045	0.146552182
GSE49284	GSE49284_DEG_Expt8_Control_vs_Group2	EPZ6438	"blood, lymphoid"	cell line	Karpas422	histone lysine methyltransferase inhibitor	16799	16317	-1.043356932	-0.658592683
GSE49284	GSE49284_DEG_Expt9_Control_vs_Group1	EPZ6438	"blood, lymphoid"	cell line	WSU-DLCL2	histone lysine methyltransferase inhibitor	9479	16879	-0.014066898	-1.447888131
GSE49284	GSE49284_DEG_Expt9_Control_vs_Group2	EPZ6438	"blood, lymphoid"	cell line	WSU-DLCL2	histone lysine methyltransferase inhibitor	9382	16873	-0.023128642	-1.998172379
GSE50811	GSE50811_DEG_Expt1_Control_vs_Group1	eribulin	breast	cell line	BT-20	microtubule inhibitor	175	16831	0.501563737	-0.611007765
GSE50811	GSE50811_DEG_Expt10_Control_vs_Group1	eribulin	breast	cell line	SKBR3	microtubule inhibitor	784	15598	0.239562731	-0.24285354
GSE50811	GSE50811_DEG_Expt11_Control_vs_Group1	eribulin	breast	cell line	HCC-2218	microtubule inhibitor	419	16864	0.614914923	-0.848755355
GSE50811	GSE50811_DEG_Expt12_Control_vs_Group1	eribulin	breast	cell line	BT-474	microtubule inhibitor	139	5030	0.539166425	0.033161529
GSE50811	GSE50811_DEG_Expt13_Control_vs_Group1	eribulin	breast	cell line	DU4475	microtubule inhibitor	8700	16700	-0.008179027	-0.325649478
GSE50811	GSE50811_DEG_Expt14_Control_vs_Group1	eribulin	breast	cell line	HCC-1937	microtubule inhibitor	544	16662	0.258334278	-0.353080252
GSE50811	GSE50811_DEG_Expt15_Control_vs_Group1	eribulin	breast	cell line	MDA-MB-231	microtubule inhibitor	592	16718	0.318628328	-0.662295414
GSE50811	GSE50811_DEG_Expt16_Control_vs_Group1	eribulin	breast	cell line	HCC-38	microtubule inhibitor	152	6545	0.584739782	0.034854771
GSE50811	GSE50811_DEG_Expt17_Control_vs_Group1	eribulin	breast	cell line	AU565	microtubule inhibitor	106	15585	0.618618925	-0.237007522
GSE50811	GSE50811_DEG_Expt18_Control_vs_Group1	eribulin	breast	cell line	UACC-893	microtubule inhibitor	114	16878	1.135232471	-1.703693188
GSE50811	GSE50811_DEG_Expt19_Control_vs_Group1	eribulin	breast	cell line	MDA-MB-468	microtubule inhibitor	212	16888	0.631147339	-1.337275782
GSE50811	GSE50811_DEG_Expt2_Control_vs_Group1	eribulin	breast	cell line	CAL-51	microtubule inhibitor	89	16878	0.865500105	-0.664716269
GSE50811	GSE50811_DEG_Expt20_Control_vs_Group1	eribulin	breast	cell line	HCC-1428	microtubule inhibitor	79	8181	0.454676154	-0.024909545
GSE50811	GSE50811_DEG_Expt21_Control_vs_Group1	eribulin	breast	cell line	MDA-MB-453	microtubule inhibitor	16599	16646	-0.615828432	-0.646895451
GSE50811	GSE50811_DEG_Expt22_Control_vs_Group1	eribulin	breast	cell line	HCC-1419	microtubule inhibitor	132	16149	0.659728285	-0.305433584
GSE50811	GSE50811_DEG_Expt23_Control_vs_Group1	eribulin	breast	cell line	HCC-1500	microtubule inhibitor	7592	16808	-0.000439691	-0.83202256
GSE50811	GSE50811_DEG_Expt24_Control_vs_Group1	eribulin	breast	cell line	HCC-70	microtubule inhibitor	6	16720	2.429261632	-0.828315197
GSE50811	GSE50811_DEG_Expt25_Control_vs_Group1	eribulin	breast	cell line	UACC-812	microtubule inhibitor	43	16849	2.219605146	-1.450996168
GSE50811	GSE50811_DEG_Expt3_Control_vs_Group1	eribulin	breast	cell line	MDA-MB-436	microtubule inhibitor	465	16892	0.291406695	-1.215788895
GSE50811	GSE50811_DEG_Expt4_Control_vs_Group1	eribulin	breast	cell line	BT-549	microtubule inhibitor	102	16735	0.718133646	-0.573934827
GSE50811	GSE50811_DEG_Expt5_Control_vs_Group1	eribulin	breast	cell line	Hs578T	microtubule inhibitor	695	16606	0.271776513	-0.349814445
GSE50811	GSE50811_DEG_Expt6_Control_vs_Group1	eribulin	breast	cell line	T47D	microtubule inhibitor	233	16774	0.351469674	-0.416697187
GSE50811	GSE50811_DEG_Expt7_Control_vs_Group1	eribulin	breast	cell line	MCF7	microtubule inhibitor	195	11770	0.350308183	-0.062530491
GSE50811	GSE50811_DEG_Expt8_Control_vs_Group1	eribulin	breast	cell line	HCC-1954	microtubule inhibitor	298	16603	0.404472335	-0.376660163
GSE50811	GSE50811_DEG_Expt9_Control_vs_Group1	eribulin	breast	cell line	HCC-1806	microtubule inhibitor	1858	16894	0.17953088	-1.243451343
GSE50811	GSE50811_DEG_Expt1_Control_vs_Group2	paclitaxel	breast	cell line	BT-20	microtubule stabilizer	182	16888	0.509668703	-0.837435578
GSE50811	GSE50811_DEG_Expt10_Control_vs_Group2	paclitaxel	breast	cell line	SKBR3	microtubule stabilizer	244	11619	0.371888018	-0.071167059
GSE50811	GSE50811_DEG_Expt11_Control_vs_Group2	paclitaxel	breast	cell line	HCC-2218	microtubule stabilizer	499	16749	0.405879214	-0.423117401
GSE50811	GSE50811_DEG_Expt12_Control_vs_Group2	paclitaxel	breast	cell line	BT-474	microtubule stabilizer	7079	5228	0.020866025	0.065409126
GSE50811	GSE50811_DEG_Expt13_Control_vs_Group2	paclitaxel	breast	cell line	DU4475	microtubule stabilizer	11130	16756	-0.047137294	-0.388964195
GSE50811	GSE50811_DEG_Expt14_Control_vs_Group2	paclitaxel	breast	cell line	HCC-1937	microtubule stabilizer	681	16801	0.292261204	-0.469001011
GSE50811	GSE50811_DEG_Expt15_Control_vs_Group2	paclitaxel	breast	cell line	MDA-MB-231	microtubule stabilizer	1392	16788	0.182347054	-0.643569813
GSE50811	GSE50811_DEG_Expt16_Control_vs_Group2	paclitaxel	breast	cell line	HCC-38	microtubule stabilizer	997	12953	0.26226785	-0.136077459
GSE50811	GSE50811_DEG_Expt17_Control_vs_Group2	paclitaxel	breast	cell line	AU565	microtubule stabilizer	111	16526	0.635502548	-0.33715539
GSE50811	GSE50811_DEG_Expt18_Control_vs_Group2	paclitaxel	breast	cell line	UACC-893	microtubule stabilizer	1792	16867	0.171504936	-0.5089878
GSE50811	GSE50811_DEG_Expt19_Control_vs_Group2	paclitaxel	breast	cell line	MDA-MB-468	microtubule stabilizer	71	16813	0.97736563	-0.97355384
GSE50811	GSE50811_DEG_Expt2_Control_vs_Group2	paclitaxel	breast	cell line	CAL-51	microtubule stabilizer	145	16874	0.794799098	-0.890549925
GSE50811	GSE50811_DEG_Expt20_Control_vs_Group2	paclitaxel	breast	cell line	HCC-1428	microtubule stabilizer	5706	9671	0.067787261	-0.071214232
GSE50811	GSE50811_DEG_Expt21_Control_vs_Group2	paclitaxel	breast	cell line	MDA-MB-453	microtubule stabilizer	16855	16716	-0.85895473	-0.625290628
GSE50811	GSE50811_DEG_Expt22_Control_vs_Group2	paclitaxel	breast	cell line	HCC-1419	microtubule stabilizer	1117	10335	0.183276519	-0.027760719
GSE50811	GSE50811_DEG_Expt23_Control_vs_Group2	paclitaxel	breast	cell line	HCC-1500	microtubule stabilizer	13931	14411	-0.10626646	-0.120663552
GSE50811	GSE50811_DEG_Expt24_Control_vs_Group2	paclitaxel	breast	cell line	HCC-70	microtubule stabilizer	7	16867	1.763386583	-0.890343728
GSE50811	GSE50811_DEG_Expt25_Control_vs_Group2	paclitaxel	breast	cell line	UACC-812	microtubule stabilizer	79	16839	0.495443948	-0.502245563
GSE50811	GSE50811_DEG_Expt3_Control_vs_Group2	paclitaxel	breast	cell line	MDA-MB-436	microtubule stabilizer	3700	16893	0.105334216	-1.162477696
GSE50811	GSE50811_DEG_Expt4_Control_vs_Group2	paclitaxel	breast	cell line	BT-549	microtubule stabilizer	619	16826	0.428732068	-0.763379399
GSE50811	GSE50811_DEG_Expt5_Control_vs_Group2	paclitaxel	breast	cell line	Hs578T	microtubule stabilizer	761	15395	0.292151813	-0.230361746
GSE50811	GSE50811_DEG_Expt6_Control_vs_Group2	paclitaxel	breast	cell line	T47D	microtubule stabilizer	266	16784	0.347723472	-0.46249448
GSE50811	GSE50811_DEG_Expt7_Control_vs_Group2	paclitaxel	breast	cell line	MCF7	microtubule stabilizer	84	12997	0.620862452	-0.141369696
GSE50811	GSE50811_DEG_Expt8_Control_vs_Group2	paclitaxel	breast	cell line	HCC-1954	microtubule stabilizer	185	16843	0.550003469	-0.82076282
GSE50811	GSE50811_DEG_Expt9_Control_vs_Group2	paclitaxel	breast	cell line	HCC-1806	microtubule stabilizer	997	16889	0.228569004	-1.032481496
GSE50830	GSE50830_DEG_Expt1_Control_vs_Group1	eribulin	endometrial	cell line	HEC-88nu	microtubule inhibitor	51	16415	1.003860168	-0.493732026
GSE50830	GSE50830_DEG_Expt10_Control_vs_Group1	eribulin	endometrial	cell line	AN3 CA	microtubule inhibitor	17	15611	1.141561293	-0.274373319
GSE50830	GSE50830_DEG_Expt11_Control_vs_Group1	eribulin	endometrial	cell line	HEC-1	microtubule inhibitor	20	16867	1.046745749	-0.761126278
GSE50830	GSE50830_DEG_Expt12_Control_vs_Group1	eribulin	endometrial	cell line	HEC-6	microtubule inhibitor	772	16849	0.296978005	-0.597294788
GSE50830	GSE50830_DEG_Expt13_Control_vs_Group1	eribulin	endometrial	cell line	MFE-280	microtubule inhibitor	73	15928	1.147201939	-0.467977816
GSE50830	GSE50830_DEG_Expt15_Control_vs_Group1	eribulin	endometrial	cell line	KLE	microtubule inhibitor	142	15896	0.691734361	-0.381120932
GSE50830	GSE50830_DEG_Expt16_Control_vs_Group1	eribulin	endometrial	cell line	HEC-1-B	microtubule inhibitor	19	16720	1.346020415	-0.685693608
GSE50830	GSE50830_DEG_Expt17_Control_vs_Group1	eribulin	endometrial	cell line	SNG-M	microtubule inhibitor	1006	16877	0.233246893	-0.706848336
GSE50830	GSE50830_DEG_Expt2_Control_vs_Group1	eribulin	endometrial	cell line	HEC-108	microtubule inhibitor	84	16815	0.7129113	-0.566932501
GSE50830	GSE50830_DEG_Expt3_Control_vs_Group1	eribulin	endometrial	cell line	HEC-1-A	microtubule inhibitor	174	16875	0.509308335	-0.861785817
GSE50830	GSE50830_DEG_Expt4_Control_vs_Group1	eribulin	endometrial	cell line	ECC-1	microtubule inhibitor	3	16786	3.302838512	-1.195435231
GSE50830	GSE50830_DEG_Expt5_Control_vs_Group1	eribulin	endometrial	cell line	HEC-151	microtubule inhibitor	6	16891	1.653658951	-1.363927795
GSE50830	GSE50830_DEG_Expt6_Control_vs_Group1	eribulin	endometrial	cell line	HEC-59	microtubule inhibitor	35	16889	0.943019619	-1.022099243
GSE50830	GSE50830_DEG_Expt7_Control_vs_Group1	eribulin	endometrial	cell line	MFE-296	microtubule inhibitor	23	1629	0.785206786	0.212316354
GSE50830	GSE50830_DEG_Expt8_Control_vs_Group1	eribulin	endometrial	cell line	SNG-II	microtubule inhibitor	8688	16077	-0.003928017	-0.711502761
GSE50830	GSE50830_DEG_Expt9_Control_vs_Group1	eribulin	endometrial	cell line	HEC-50B	microtubule inhibitor	278	16602	0.594640547	-0.724353382
GSE50830	GSE50830_DEG_Expt1_Control_vs_Group2	paclitaxel	endometrial	cell line	HEC-88nu	microtubule stabilizer	84	16796	0.670427661	-0.589758405
GSE50830	GSE50830_DEG_Expt10_Control_vs_Group2	paclitaxel	endometrial	cell line	AN3 CA	microtubule stabilizer	48	16685	0.852644407	-0.800309403
GSE50830	GSE50830_DEG_Expt11_Control_vs_Group2	paclitaxel	endometrial	cell line	HEC-1	microtubule stabilizer	169	16786	0.484777687	-0.503455256
GSE50830	GSE50830_DEG_Expt12_Control_vs_Group2	paclitaxel	endometrial	cell line	HEC-6	microtubule stabilizer	571	16680	0.349110833	-0.431776933
GSE50830	GSE50830_DEG_Expt13_Control_vs_Group2	paclitaxel	endometrial	cell line	MFE-280	microtubule stabilizer	5311	16755	0.059522707	-0.724232157
GSE50830	GSE50830_DEG_Expt14_Control_vs_Group2	paclitaxel	endometrial	cell line	RL95-2 	microtubule stabilizer	47	16872	0.934198073	-0.721569734
GSE50830	GSE50830_DEG_Expt15_Control_vs_Group2	paclitaxel	endometrial	cell line	KLE	microtubule stabilizer	1613	7938	0.136826033	0.00263793
GSE50830	GSE50830_DEG_Expt16_Control_vs_Group2	paclitaxel	endometrial	cell line	HEC-1-B	microtubule stabilizer	405	16889	0.315681868	-0.617678016
GSE50830	GSE50830_DEG_Expt17_Control_vs_Group2	paclitaxel	endometrial	cell line	SNG-M	microtubule stabilizer	3557	16892	0.128094697	-1.501531205
GSE50830	GSE50830_DEG_Expt2_Control_vs_Group2	paclitaxel	endometrial	cell line	HEC-108	microtubule stabilizer	189	16822	0.479977488	-0.484285535
GSE50830	GSE50830_DEG_Expt3_Control_vs_Group2	paclitaxel	endometrial	cell line	HEC-1-A	microtubule stabilizer	122	16876	0.499814618	-0.723629673
GSE50830	GSE50830_DEG_Expt4_Control_vs_Group2	paclitaxel	endometrial	cell line	ECC-1	microtubule stabilizer	34	16878	1.915942122	-1.499059136
GSE50830	GSE50830_DEG_Expt5_Control_vs_Group2	paclitaxel	endometrial	cell line	HEC-151	microtubule stabilizer	7	16893	1.304033614	-1.766194545
GSE50830	GSE50830_DEG_Expt6_Control_vs_Group2	paclitaxel	endometrial	cell line	HEC-59	microtubule stabilizer	3982	16459	0.089340049	-0.350986398
GSE50830	GSE50830_DEG_Expt7_Control_vs_Group2	paclitaxel	endometrial	cell line	MFE-296	microtubule stabilizer	19	10847	1.245583876	-0.072101977
GSE50830	GSE50830_DEG_Expt8_Control_vs_Group2	paclitaxel	endometrial	cell line	SNG-II	microtubule stabilizer	157	16875	0.776311788	-1.521187108
GSE50830	GSE50830_DEG_Expt9_Control_vs_Group2	paclitaxel	endometrial	cell line	HEC-50B	microtubule stabilizer	216	16866	0.630189589	-1.233277514
GSE50831	GSE50831_DEG_Expt1_Control_vs_Group1	eribulin	ovary	cell line	SK-OV-3	microtubule inhibitor	67	16887	1.00474249	-1.451275188
GSE50831	GSE50831_DEG_Expt10_Control_vs_Group1	eribulin	ovary	cell line	A2780	microtubule inhibitor	81	16881	0.99770541	-1.069535855
GSE50831	GSE50831_DEG_Expt11_Control_vs_Group1	eribulin	ovary	cell line	COV644	microtubule inhibitor	1349	16848	0.269448013	-0.74222718
GSE50831	GSE50831_DEG_Expt12_Control_vs_Group1	eribulin	ovary	cell line	EFO-27	microtubule inhibitor	28	16768	1.221934102	-0.641204976
GSE50831	GSE50831_DEG_Expt13_Control_vs_Group1	eribulin	ovary	cell line	OVCAR-3	microtubule inhibitor	1678	16736	0.219780281	-0.646425548
GSE50831	GSE50831_DEG_Expt14_Control_vs_Group1	eribulin	ovary	cell line	OV-90	microtubule inhibitor	17	16879	0.880584037	-1.070168496
GSE50831	GSE50831_DEG_Expt15_Control_vs_Group1	eribulin	ovary	cell line	KURAMOCHI	microtubule inhibitor	11	15859	1.912108938	-0.399076413
GSE50831	GSE50831_DEG_Expt16_Control_vs_Group1	eribulin	ovary	cell line	OVTOKO	microtubule inhibitor	1022	16883	0.266211694	-1.048795423
GSE50831	GSE50831_DEG_Expt17_Control_vs_Group1	eribulin	ovary	cell line	OVCAR-4	microtubule inhibitor	24	16704	1.105601651	-0.459469057
GSE50831	GSE50831_DEG_Expt18_Control_vs_Group1	eribulin	ovary	cell line	OVSAHO	microtubule inhibitor	74	16313	1.06208384	-0.605332088
GSE50831	GSE50831_DEG_Expt19_Control_vs_Group1	eribulin	ovary	cell line	EFO-21	microtubule inhibitor	179	16527	0.512042707	-0.564140806
GSE50831	GSE50831_DEG_Expt2_Control_vs_Group1	eribulin	ovary	cell line	TOV-21G	microtubule inhibitor	65	16891	0.721747554	-0.983874871
GSE50831	GSE50831_DEG_Expt20_Control_vs_Group1	eribulin	ovary	cell line	COV434	microtubule inhibitor	2	16106	1.656642631	-0.453442289
GSE50831	GSE50831_DEG_Expt21_Control_vs_Group1	eribulin	ovary	cell line	CaOv3	microtubule inhibitor	1868	16663	0.230995305	-0.572596404
GSE50831	GSE50831_DEG_Expt3_Control_vs_Group1	eribulin	ovary	cell line	OVISE	microtubule inhibitor	2305	16876	0.176730631	-1.515003291
GSE50831	GSE50831_DEG_Expt4_Control_vs_Group1	eribulin	ovary	cell line	TOV-112D	microtubule inhibitor	15077	16894	-0.213346395	-1.0645423
GSE50831	GSE50831_DEG_Expt5_Control_vs_Group1	eribulin	ovary	cell line	OV56	microtubule inhibitor	123	16775	0.925752088	-1.206106376
GSE50831	GSE50831_DEG_Expt6_Control_vs_Group1	eribulin	ovary	cell line	COV362	microtubule inhibitor	1226	16874	0.207958576	-0.671098038
GSE50831	GSE50831_DEG_Expt7_Control_vs_Group1	eribulin	ovary	cell line	COV504	microtubule inhibitor	40	16892	0.94863329	-1.372684259
GSE50831	GSE50831_DEG_Expt8_Control_vs_Group1	eribulin	ovary	cell line	COLO-704	microtubule inhibitor	493	16860	0.370718886	-0.847817295
GSE50831	GSE50831_DEG_Expt9_Control_vs_Group1	eribulin	ovary	cell line	COLO 720E	microtubule inhibitor	16285	16674	-0.334011228	-0.477376461
GSE50831	GSE50831_DEG_Expt1_Control_vs_Group2	paclitaxel	ovary	cell line	SK-OV-3	microtubule stabilizer	88	16889	0.924483428	-1.689781568
GSE50831	GSE50831_DEG_Expt10_Control_vs_Group2	paclitaxel	ovary	cell line	A2780	microtubule stabilizer	132	16883	0.942739864	-1.241790445
GSE50831	GSE50831_DEG_Expt11_Control_vs_Group2	paclitaxel	ovary	cell line	COV644	microtubule stabilizer	1699	16820	0.236208776	-0.633023676
GSE50831	GSE50831_DEG_Expt12_Control_vs_Group2	paclitaxel	ovary	cell line	EFO-27	microtubule stabilizer	29	16767	1.356980323	-0.529535357
GSE50831	GSE50831_DEG_Expt13_Control_vs_Group2	paclitaxel	ovary	cell line	OVCAR-3	microtubule stabilizer	197	16661	0.514974529	-0.45606885
GSE50831	GSE50831_DEG_Expt14_Control_vs_Group2	paclitaxel	ovary	cell line	OV-90	microtubule stabilizer	37	16851	0.667404287	-0.667101292
GSE50831	GSE50831_DEG_Expt15_Control_vs_Group2	paclitaxel	ovary	cell line	KURAMOCHI	microtubule stabilizer	20	14330	0.96248787	-0.15970374
GSE50831	GSE50831_DEG_Expt16_Control_vs_Group2	paclitaxel	ovary	cell line	OVTOKO	microtubule stabilizer	1651	16888	0.225572821	-1.38507375
