NAME	786-0	BT-549	CCRF-CEM	COLO 205	EKVX	HCC-2998	HCT-15	HOP-62	HOP-92	HS 578T	HT29	K-562	KM12	M14	MDA-MB-231/ATCC	MDA-MB-435	NCI-H23	NCI-H322M	NCI-H522	OVCAR-3	OVCAR-5	OVCAR-8	PC-3	RXF-393	SF-268	SF-295	SK-MEL-2	SN12C	SNB-19	SNB-75	SW-620	T-47D	U251	A498	A549/ATCC	ACHN	CAKI-1	HCT-116	LOX IMVI	MALME-3M	MCF7	MOLT-4	NCI-H460	OVCAR-4	SF-539	SK-MEL-5	SR	UACC-257	UACC-62	UO-31
GDPD1	3.45	9.98	5.6	3.36	12.64	7.55	9.37	7.47	3.34	16.06	13.06	8.76	2.91	9.61	4.22	13.5	15.91	19.17	8.01	6.53	13.07	4.39	8.68	6.94	12.95	4.42	5.08	10.84	4.77	15.11	6.2	12.5	4.39	23.34	22.4	4.62	5.88	11.5	15.52	4.26	8.41	19.35	47.67	10.84	21.15	8.01	9.13	28.76	5.75	24.58
ADCY6	37.76	40.82	37.68	32.42	33.22	33.14	23.08	42.43	22.99	27.62	25.75	38.32	35.89	35.39	31.81	34.98	36.1	30.8	37.82	37.79	34.95	33.02	34.67	29.9	38.19	30.67	38.53	30.21	48.84	38.22	35.88	32.12	28.94	46.64	40.29	33.1	33.73	26.14	37.23	40.68	43.19	42.8	34.48	35.19	36.36	41.48	50.91	48	41.87	32.82
ABHD3	277.05	212.06	436.26	476.17	380.67	450.1	362.09	356.09	187.08	273.29	382.14	308.18	463.69	401.11	184.82	413.94	369.11	388.35	531.22	480.33	239.57	270.44	488.8	293.75	265.6	479.04	395.47	279.44	381.04	410.94	278.14	262.34	551.71	382.17	476.4	336.35	336.37	485.17	438.89	285.02	226.15	252	330.34	270.52	451.38	265.49	430.61	345.32	586.53	225.89
NPTX1	93.21	65.48	92.44	61.72	70.9	83.94	77.48	88.04	68.76	83.89	69.26	96.83	68.95	93.16	97.79	86.65	91.1	86.33	79.9	122.34	88.41	91.85	84.63	91.54	127.78	69.08	72.16	90.03	111.83	77.09	67.6	69.79	78.47	100.03	75.08	85.25	68.69	72.35	89.42	86.72	104.41	120.7	94.48	94.5	78.28	107.95	83.83	121.42	116.4	89.26
CHRNB1	2727.99	1260.99	830.21	799.7	1556.01	892.55	798.02	749.78	576.88	1583.01	935.16	940.42	783.21	729.87	1442.07	1388.28	1535.29	1441.58	889.6	1804.35	1719.92	1125.12	855.98	2101.26	722.46	425.93	624.66	369.14	606.57	439.86	824.87	1502.25	513.88	708.72	1588.84	1061.51	1519.53	727.95	926.24	1269.1	1611.88	1128.91	990.19	1019.82	416.84	1089.58	885.81	746.39	2182.71	2309.69
OPRL1	111.33	86.53	71.37	82.32	86.35	111.09	86.85	103.68	133.2	162.47	114.98	80.35	90.54	92.65	102.89	107.33	73.14	114.79	65.94	137.49	83.23	117.71	174.99	139.3	141.67	102.07	97.94	151.19	157.3	132	79.77	77.68	94.96	122.13	74.71	134.96	128.89	85.77	65.24	91.09	78.98	67.65	99.8	137.96	138.27	137.8	130.51	120.94	139.52	69.27
GSN	7	14.23	11.18	9.27	6.36	10.65	14.8	14.83	8.94	12.79	4.4	11.14	7.24	11.55	8.69	11.16	10.23	18.8	6.85	8.57	11.55	10.37	3.69	15.25	17.1	11.29	13.03	5.95	10.72	10.85	8.9	10.8	19.27	6.65	10.69	6.19	3.2	4.22	5.31	2.23	12.61	4.46	4.4	9.23	1.82	17.3	18.19	14.03	6.14	8.77
TNFAIP2	49.8	187.05	20.16	43.93	56.48	46.2	54.09	45.14	43.2	336.04	44.76	16.87	35.45	37.29	26.52	20.24	179.71	88.72	261.94	102.41	99.28	197.69	60.3	277.74	62.77	63.77	56.78	242.75	152.18	202.95	47.51	119.09	42.33	93.36	64.15	254.46	110.28	40.2	34.33	115.49	159.99	22.78	52.45	46.48	76.44	163.94	50.81	53.81	86.78	66.49
H1F0	609.68	954.89	391.45	272.15	963.58	186.95	382.73	1017.32	1049.3	1812.5	414.95	910.23	419.61	1558.51	1228.54	546.66	205.84	103.6	2249.3	183.57	339.05	1750.65	354.66	1704.75	1564.59	593.26	1280.1	1384.66	1321.36	2019.66	304.94	186.42	1074.47	682.04	394.37	684.38	458.05	522.57	197.22	1707.77	104.41	201.67	513.08	467.07	570.52	786	178.67	1459.13	1058.47	1361.7
PLEKHA2	707.05	1153.56	1613.51	1592.59	1913.64	813.84	1252.1	924.79	568.73	581.82	920.04	1104.04	1613.71	807.7	888.22	1151.33	1401.5	1441.15	2000.71	1041.42	1271	549.15	871.62	349.21	604.31	848.83	886.6	817.17	778.13	1046.59	654.16	1748.59	882.38	541.94	1226.72	554	626.34	1176.59	789.15	1404.91	1686.15	1772.67	1259.75	1748.02	940.76	1162.21	964.05	1183.85	1074.48	831.07
CCDC45	133.93	114.55	125.38	114.27	114.88	117.07	130.41	148.15	142.05	127.67	129.6	103.58	100.74	128.61	152.85	166.44	115.8	138.35	136.44	189.23	141.2	118.12	131.31	134.88	162.5	105.62	144.43	122.34	183.13	154.6	129.65	131.91	99.46	148.14	122.76	151.95	124.41	123.26	129.9	161.45	138.42	131.82	113.38	153.82	98.94	199.37	182.92	157.09	139.56	141.58
KRT8	5.72	1.85	3.51	1.68	2.97	3.54	1.94	1.98	2.66	16.89	2.05	2.8	4.9	2.05	2.3	3.58	3.67	4.61	2.03	4.92	2.99	2.16	2.42	3.14	2.4	3.66	3.31	7.08	3.51	4.28	2.1	3.12	3.92	5.56	3.29	3.25	3.85	4.22	3.3	2.51	4.08	3.23	2.22	4.21	11.81	4	5.56	3.48	3.21	2.88
TDRD7	87.54	151.05	7.49	48.31	99.42	50.8	78.15	66.07	167.98	123.82	82.35	12.18	55.84	115.58	262.52	73.59	35.68	49.54	96.74	31.69	43.24	124.1	86.84	132.01	122.84	88	73.21	91.36	189.52	99.21	40.53	5.52	155.49	84.35	67.76	73.33	128.61	57.25	61.21	43.22	9.23	12.72	44.75	27.19	142.63	36.86	140.65	35.95	35.59	99.78
TMEM37	8.77	5.81	6.92	5.22	5.61	4.53	5.49	5.29	3.96	4.69	1.47	2.3	1.85	1.18	5.61	7.88	5.16	5.94	1.96	4.61	6.31	2.4	3.41	2.21	1.11	4.95	2.6	3.28	1.98	5.78	9.23	4.48	5.69	7.89	1.76	3.9	3.58	4.81	0.99	2.35	4.23	3.62	4.35	5.15	4.25	7.81	8.3	2.07	5.99	4.66
PPP3CC	32.69	12.7	23.45	10.39	4.58	8.95	11.95	13.14	5.25	6.87	5.32	10.25	10.58	10.78	8.92	19.92	13.22	8.35	8.79	15.72	8.01	9.84	12.51	11.78	9.21	3.61	9.93	7.92	12.42	8.69	7.33	13.39	8.71	10.08	12.34	7.75	15.46	5.52	7.59	14.08	16.46	12.1	10.44	7.14	9.69	7.78	6.94	5.48	16.18	4.67
ANKRD44	21.56	8.48	7.31	21.71	7.27	11.18	7.4	12.61	3.93	8.96	5.48	13.55	11.57	14.85	5.23	7.31	5.42	12.26	7.4	10.96	8.91	5.58	5.29	13.23	13.94	5.41	7.53	7.17	9.29	4.33	5.55	3.55	7.15	19.01	4.19	9.36	4.9	18.6	23.77	13.99	5.11	9.44	8.86	10.76	8.74	7.16	22.75	16.38	4.11	8.18
MYRIP	174.93	238.47	264.6	235.11	180.74	263.48	181.95	136.31	143.56	148.67	170.07	175.71	303.99	142.83	234.04	265.54	254.91	157.87	195.3	123.62	166.21	196.57	257.55	149.54	120.99	210.35	200.86	193.74	157.93	248.88	245.69	256.18	132.74	158.35	211.59	131.24	205.56	266.93	268.63	176.37	245.19	192.55	229.19	127.98	209.63	163.91	179.45	138.91	99.34	154.38
LGALS7	1635.11	542.38	49.72	61.72	138.48	41.93	21.22	627.09	835.83	1695.41	29.92	45	34.21	62.15	1661.02	51.55	64.23	90.72	56.59	81.7	279	2053.02	56.62	1185.96	1236.95	935.97	253.3	4343.86	504.59	451.92	164.4	25.51	180.12	239.42	288.65	1210.79	934.29	141.79	546.39	24.59	47.92	24.96	55.46	32.48	622.73	34.69	46.56	70.71	33.78	860.41
KCTD11	133.47	148.21	86.8	189.66	441.54	78.7	340.47	240.83	99.91	157.97	87.04	287.97	140.37	63.88	89.58	56.95	649.56	454.05	396.32	269.63	200.98	281.71	94.4	81.94	305.42	129.66	114.68	281.78	227.6	266.32	103.13	343.73	119.31	135.53	211.43	203.25	99.87	212.44	96.67	90.39	389.54	121.01	170.57	169.51	285.65	186.67	95.58	205.5	249.23	72.53
2610034B18RIK	19.77	43.41	40.41	25.54	26.53	28.1	28.08	19.11	13.13	32.65	15.16	45.83	12.64	15.55	17.05	29.26	18.63	18.27	25.14	29.86	20.13	23.09	15.38	25.41	27.2	13.8	26.16	28.66	15.04	22.26	34.13	25.26	23.63	27.06	24.89	18.48	18.86	24.88	15.03	19.76	33.15	54.04	31.51	12.83	28.21	31.51	23.08	10.69	14.96	21.75
ETS1	71.31	43.59	114.78	134.63	63.53	116.44	90.11	96.16	130.9	74.15	76.69	132.74	111.66	83.53	89.57	132.7	78.34	81.26	88.94	97.1	132.08	64.13	122.53	69.37	56.04	105.17	150.49	38.93	103.11	69.58	105.9	172.99	96.54	61.73	54.99	50.1	59.87	96.96	91.7	86.44	104.28	115.92	69.97	55.22	67.35	108.11	97.18	119.51	110.45	74.36
SUOX	9.6	70.82	163.89	75.1	50.24	84.08	97.78	27.78	55.29	26.62	57.95	122.24	86.98	41.51	44.19	87.04	51.65	36.54	94.65	49.64	31.11	135.14	100.9	17.59	26.31	48.48	66.37	18.76	188.07	33.19	147.31	51.9	40.46	18.07	39.6	63.03	67.82	119.4	49.85	62.32	74.47	173.63	63.76	47.78	28.2	70.7	65.33	33.68	35.54	49.41
CLDN3	15.82	12.19	13.46	8.21	11.22	18.57	13.37	12.08	11.92	8.38	6.52	11.67	6.64	9.16	7.83	7.27	17.29	9.31	20.29	6.37	14.96	9.63	6.45	8.82	22.63	6.4	12.96	11.3	22.14	8.13	6.44	10.71	18.39	14.09	13.79	12.02	12	7.38	10.71	12.56	21.68	19.81	12.24	17.65	5.66	31.89	24.83	18.67	11.66	16.96
SNX9	118.59	120.65	427.1	167.41	409.87	172.69	169.18	468.61	169.3	262.52	189.76	176.87	179.5	219.67	122.4	104.3	101.36	130.08	165.13	130.01	152.93	99.65	124.31	118.63	156.47	145.46	121.25	263.34	83.48	163.19	125.68	155.24	143.9	99.01	140.23	91.26	129.73	182.48	91.76	107.9	98.89	241.92	76.58	105.4	151.32	88.99	125.72	121.05	89.72	146.78
ENTPD2	189.86	114.29	112.55	105.75	134.34	140.59	117.72	155.17	129.43	92.41	135.66	114.32	127.88	120.95	120.46	143.68	105.04	118.85	97.76	190.24	149.6	122.4	142.27	167.57	124.84	94.75	113.37	158.87	153.3	561.46	116.28	110.27	103.03	197.09	119.42	140.8	143.37	127.52	104.7	157.37	124.37	128.28	146.9	148.82	105.53	190.07	143.21	164.85	135.91	140.25
NINJ1	31.67	60	30.73	38.57	96.11	33.98	22.9	27.69	27.49	56.28	95.56	50.93	36.04	214.53	64.85	108.62	248.55	41.43	21.74	67.79	73.63	35.44	64.35	79.8	99.53	50.95	149.12	136.59	51.39	74.6	22.83	44.69	54.01	70.43	74.94	70.51	56.12	42.28	105.92	213.82	62.88	33.5	71.1	53.53	74.96	216.35	64	253.84	638.15	26.64
PTPLAD2	5.54	13.11	12.17	18.35	13.5	8.26	8.07	11.84	14.85	5.9	6.48	13.56	7.32	14.84	14.69	12.91	5.34	8.64	16.73	4.55	6.77	6.68	8.29	14.53	28.93	9.54	16.5	12.83	26.81	18.28	8.03	14.32	9.05	32.96	8.54	17.59	5.95	9.25	16.61	31.48	7.67	11.65	13.35	10.61	6.21	25.55	6.42	22.73	35.5	9.81
HRASLS	158.16	89.32	5.84	102.57	116.48	102.13	14	21.27	107.47	25.01	8.35	68.09	41.63	39.61	9.56	73.85	22.51	14.07	13.48	6.92	120.51	138.43	79.75	88.9	6.83	28.69	42.86	16.04	7.49	101.09	8.87	18.58	7.07	250.18	62.23	136.76	246.18	110.75	64.36	36.12	11.86	39.54	233.74	74.02	55.93	40.69	25.9	130.1	13.07	148.38
CD47	205.89	127.6	141.99	116.2	175.53	153.66	172.26	141.29	167.17	155.86	142.99	142.91	152.5	129.74	145.84	136.44	177.98	140.09	135.42	169	202.12	127.48	174.19	139.68	182.77	165.38	136.43	146.74	168.21	148	170.72	106.39	137.35	166.38	146.65	159.79	154.77	152.4	179.06	132.37	142.54	178.44	152.6	135.06	167.26	172.33	123.39	200.21	145.5	168.1
GPR177	1040.99	2172.87	2879.15	1161.99	805.73	546.26	480.48	1324.79	1487	1111.35	1039.7	1430.96	882.88	845.59	853.57	482.51	1930.64	529.68	1039.34	717.7	1287.93	623.87	1693.14	1487.29	845.5	1240.54	859.03	1054.41	771.7	914.09	867.53	2463.45	1041.79	550.03	890.93	650.89	1212.76	918.14	1570.94	828.51	819.19	3643.82	1278.04	850.13	1189.86	553.44	1154.95	1101.2	447.82	824.81
GALNT12	11.26	10.15	198.48	44.68	13.08	85.85	63.18	4.41	5.09	13.11	5.32	12.31	75.74	11.94	6.82	12.49	176.41	64.74	27.16	34.14	8.91	96.97	28.33	11.52	105.31	10.44	11.5	33.84	6.28	6.8	87.64	8.91	23.14	44.74	22.35	14.62	20.69	22.06	119.08	21.68	9.69	249.63	35.3	5.73	8.49	24.87	30.53	13.8	17.15	4.44
AQP5	92.3	318.79	621.22	150.52	167.68	115.91	241.71	153.16	247.02	124.87	105.38	427.2	222.45	170.85	343.58	155.8	164.74	270.2	223.41	124.06	139.97	153.05	39.77	157.09	230.21	256.14	170.2	114.49	252.46	235.27	185.82	124.07	271.95	79.94	278.08	232.26	120.38	160.92	236.47	190.31	270.19	419.28	323.28	178.25	375.37	77.96	434.91	86.22	50.58	190.51
TGFBR3	218.06	253.84	389.47	287.94	256.93	201.68	365.89	297.35	362.31	251.46	253.8	400.02	353.78	287.85	233.47	300.8	351.15	386.53	344.96	233.4	362.12	351.43	309.83	384.5	258.76	347.36	493.71	368.01	224.42	203.95	347.01	233	202.11	290.82	341.08	257.69	266.23	346.3	379.5	304.85	381.79	363.05	479.77	265.18	331.29	349.38	198.29	305.28	350.18	213.52
ENPP1	21.45	27.55	58.49	33.51	27.19	43.25	42.07	33.41	31.22	28.42	32.32	23.66	18.71	35.71	30.63	40.76	27.02	31.07	27.11	27.54	32.42	26.9	42.2	56.01	30.57	16.86	27.53	33.41	49.4	22.46	40.98	36.72	22.79	25.81	30.37	27.46	32.41	25.93	25.87	33.78	24.18	80.24	35.07	35.65	32.06	35.47	46.7	30.07	21.77	34.76
PTRF	335.3	222.89	288.78	224.86	183.34	236.45	296.46	284.22	240.73	300.36	298.45	254.42	181.73	204.2	452.94	302.09	318.23	323.22	338.13	338.43	311.08	466.46	312.39	303.07	387.37	306.69	241.55	409.1	299.09	269.96	264.12	320.18	265.46	241.94	197.57	243.81	337.85	229.98	338.11	262.86	346.83	416.48	231.85	212.01	363.69	245.53	435.17	400.45	279.94	274.91
PRKD1	132.01	163.49	128.84	316.08	104.5	428.76	150.24	133.34	203.21	204.49	205.25	104.57	129.1	176.48	140.43	120.8	166.96	104.89	144.18	232.67	177.32	308.91	196.07	151.31	120.97	152.01	144.03	132.11	145.51	217.47	174.42	272.48	275.93	269.43	254.76	188.94	179.24	149.38	90.39	107.46	132.16	121.63	163.85	348.42	362.65	173.33	111.23	253.97	255.03	193.13
TSPYL4	67.55	1040.32	14.91	20.48	159.18	13.76	25.23	719.88	67.06	639.93	12.37	11.07	29.3	27.31	25.06	34.5	362.14	13.82	15.73	57.95	49.77	183.45	10.33	1114.94	286.91	475.37	28.7	26.73	30.99	650.02	29.66	15.29	40.61	406.42	114.1	34.38	180.34	15.83	20.65	49.2	31.15	56.54	91.84	29.36	900.9	20.86	51.81	125.47	69.16	130.63
LOC100046207	9.16	27.16	14.95	9.3	14.94	10.64	24.04	30.81	10.55	45.12	7.02	16.72	6.14	32.93	15.73	35.49	42.18	26.67	23.36	31.09	11.29	18.46	14.23	18.61	45.88	24.63	50.35	19.67	43.86	22.05	6.26	26.15	31.87	27.53	16.88	14.68	13.12	13.6	27.61	24.72	26.22	14.24	23.57	3.58	36.1	16.15	23.81	30.91	47.57	31.19
D6MM5E	134.43	125.66	130.91	290.09	218.88	334.15	264.64	160.39	119.72	143.39	499.65	129.4	360.56	409.58	131.16	308.83	199.51	515.45	179.72	182.93	327.59	122.11	299.48	157.44	188.43	218.8	258.53	98.06	249.09	183.69	277.78	387.97	427.67	198.43	137.13	88.49	215.75	344.98	233.78	398.75	216.8	223.21	311.93	119.71	239.51	161.04	208.48	378.26	353.17	69.65
ECSCR	19.7	15.76	16.04	11.77	18.37	18.02	15.7	15.18	20.04	21.37	14.91	19.87	18.77	17.31	14.3	16.05	20.77	42.58	18.16	30.04	17.99	22.32	779.41	14.92	20.94	16.26	22.56	19.6	23.01	41.48	14.83	14.88	54.75	28.18	31.78	18.29	17.84	10.46	16.31	29.93	17.34	17.04	15.19	24.39	22.77	19.32	18.83	23.88	17.87	18.77
1700008I05RIK	654.13	807.46	797.84	977.85	1341.43	1029.15	865.58	411.22	840.35	890.61	769.3	1207.57	916.08	614.11	990.27	1093.25	594.26	1368.15	967.04	742.35	834.63	1049.55	952.12	1892.87	776.39	691.44	526.14	794.8	844.39	742.69	1067.49	1009.24	705.04	525.19	917.23	716.04	654.61	849.3	1065.54	447.54	844.06	651.6	681.41	716.59	785.99	670.06	597.84	729.31	650.29	869.98
FAM46B	30.01	8.38	8.76	8.06	13.28	7.13	13.77	9.44	9.61	15.8	14.14	21.29	8.96	3.79	6.42	7.33	8.16	21.97	8.72	7.69	8.5	4.74	4.18	11.92	16.18	4.24	8.86	20.11	7.77	8.21	7.65	6.46	8.89	21.6	24.77	13.26	9.2	10.28	7.9	4.49	7.78	4	6.98	14.4	7.34	17.17	13.63	18.17	4.54	14.13
TGFA	175.52	326.8	282.68	259.66	212.81	300.86	256.51	269.98	262.25	398.52	341.85	256.38	222.99	407.55	280.03	266.8	337.53	304.78	461.14	271.76	199.19	234.99	322.09	322.54	465.15	311.19	265.69	221.69	341.76	370.65	308.09	217.28	399.3	182.58	216.06	167.89	335.24	196.21	299.93	292.82	177.95	429.24	256.17	227.21	404.05	195.61	357.77	496.15	424.42	178.33
TM6SF1	34.02	43.68	37.32	53.75	29.42	74.46	51.3	55.33	51.06	24.86	45.71	64.56	34.51	36.22	88.26	45.03	21.12	53.11	24.05	32.17	63.51	48.97	17.02	24.24	69.45	38.78	25.51	70.82	39.09	26.4	37.82	25.2	56.74	47.36	45.71	43.15	29.77	57.51	47.46	38.15	36.33	31.58	51.26	32.99	38.64	48.71	83.65	26.02	29.44	44.89
ARSB	7.14	2.42	3.83	2.73	3.1	4.74	2.39	11.1	3.27	2.82	2.47	3.69	3.46	3.29	2.68	3.33	3.52	5.27	5.33	4.39	3.68	3.81	1.78	3.34	2.43	6.79	3.4	3	4.09	2.47	2.95	3.13	4.62	8.09	5.08	5.27	2.59	2.67	2.95	3.15	5.22	4.96	4.74	4.6	4.19	4.86	8.02	3.71	5.06	5.32
WNT9A	113.28	146.12	16.32	189.73	167.11	138.96	200.44	97.01	101.99	84.28	107.79	118.6	148.75	153.92	74.63	191.01	174.48	104.13	185.9	123.24	100.79	342.31	102.46	142.17	222.24	84.51	95.23	114.06	54.04	64.67	250.87	146.76	38.19	76.18	117.74	345.61	231.21	135.96	239.63	100.73	93.82	7.31	86.55	141.58	61.09	171.09	52.02	99.34	110.16	104.72
PDLIM4	2.48	1.4	5.21	1.22	2.88	1.46	1.75	2.91	1.21	3.19	2.25	8.2	3.91	2.38	1.76	3.73	2.79	2.29	3.42	3.21	2.25	1.56	1.82	5.13	4.51	1.52	5.03	2.72	2.58	3.78	1.79	12.03	1.35	4.63	2.85	2.56	3.65	2.48	3.57	1.89	4	9.02	6.19	1.81	1.26	6.81	1.57	9.23	2.09	13.91
POGK	66.64	19.84	25.13	67.72	131.2	44.16	134	31.98	27.89	27.1	33.68	35.42	21.96	43.09	21.57	38.5	24.64	323.96	40.88	75.39	67.06	46.14	23.29	142.47	28.25	58.49	42.57	34.19	172.68	91.49	25.12	38.16	107.27	42.5	83.1	32.55	50.87	77.71	34.45	125.12	44.01	36.74	32.5	51.64	80.03	52.61	26.71	75.93	54.31	31.51
TIMP2	302.7	439.97	228.7	272.47	330.09	434.1	425.14	382.34	417.59	269.34	512.43	391.56	421.57	316.3	322.21	279.28	227.75	400.4	280.88	397.98	678.62	311.23	1044.97	305.82	238.48	280.24	259.09	348.84	244.12	241.98	509.31	197.95	275.34	449.75	279.09	501.77	450.03	294.11	301.32	282.74	258.04	258.61	235.81	505.21	281.27	339.81	319.4	202.36	174.68	374.19
TNNC1	7.8	18.39	16.39	16.33	8.44	4.69	17.34	12.85	9.01	18.8	8.64	12.82	12.58	21.25	12.42	15.28	12.64	30.42	17.19	22.09	12.37	12.54	8.25	15.55	28.99	17.12	19.71	18.69	14.9	19.26	23.33	23.21	13.14	12.62	12.53	5.64	16.15	15.79	21.63	19.92	20.94	27.05	21.47	20.75	9.49	13.61	15.76	17.52	19.34	14.98
LETM1	171.07	66.61	85.99	49	58.82	88.33	91.76	93.43	128.38	101.28	64.6	72.12	112.41	170.16	57.25	126.1	132.61	95.92	124.61	62.33	43.74	103.93	38.59	158.33	76.55	96.88	154.72	40.16	86	115.94	43.34	63.03	174.14	100.85	41.35	96.73	112.39	76.94	247.3	271.03	58.77	71.37	32.89	104.82	88.76	108.8	65.79	350.76	138.8	110.8
BHLHE40	13.27	11.93	17.48	5.92	5.4	6.94	2.4	6.63	2.99	10.19	4.27	2.13	7.02	5.61	10.46	5.06	13.48	2.76	3.15	17.92	7.29	7.87	5.08	8.7	4.2	5.04	4.92	19.12	9.44	2.89	5.57	5.47	11.75	8.97	12.78	3.63	8.86	6.76	2.56	3.64	3.04	11.46	9.67	2.31	3.38	17.87	11.03	1.87	13.39	16.64
EGR1	29.02	7.27	22.56	8.19	9.8	12.94	16.26	15.4	8.99	26.99	11.57	12.27	11.82	15.21	10.58	24.73	10.54	11.32	12.54	12.68	14.84	26.56	19.61	19.38	13.6	9.76	12.65	10.45	11.18	11.96	18.49	9.34	15.91	24.59	11.23	7.57	10.49	7.1	10.87	19.74	8.72	12.2	9.07	10.03	16.77	14.95	22.35	24.02	8.67	13.92
CLIP1	923.63	1375.74	34.03	83.42	449.76	315.97	307.12	1452.39	34	3795.37	129.11	69.17	41.8	936.35	716.6	32.61	40.41	163.75	31.71	1020.29	42.51	1587.28	184.03	3585.42	2174.44	1664.79	831.52	405.97	1909.98	4528.34	246.99	32.07	2746.8	2491.48	672.07	4432.62	3807.57	31.77	27.84	641.9	40.76	22.13	759.94	3773.01	4540.2	58.2	387.79	571.34	743.49	5244.65
TNFRSF12A	131.99	130.06	123.93	79.9	167.31	74.93	69.76	155.92	104.79	172.16	81.37	51.04	107.74	553.04	106.3	128.81	215.66	137.92	135.26	67.03	87.69	150.26	125.02	103.3	117	95.08	502.85	61.42	218.03	368.62	200.08	94.12	164.86	132.02	723.53	96.77	100.85	101.05	156.73	408.54	72.32	194.51	487.11	93.01	167.55	696.9	106.8	251.44	353.59	142.93
GPSM1	126.71	114.89	85.6	52.5	35.77	84.27	57.19	83.78	76.7	51.03	63.64	49.88	57.97	50.32	94.74	69.65	76.49	90.59	83.15	85.47	62.13	87.27	81.94	60.11	117.9	52.71	66.24	82.37	150.77	83.68	82.94	71.47	83.77	132.87	65.57	96.26	73.81	56.03	55.13	89.09	55.39	85.91	56.64	81.69	53.05	101.73	89.3	60.95	96.86	66.73
4930583H14RIK	114.11	253.55	147.11	133.86	130.61	160.19	151.41	178.45	203.69	141.38	180.51	217.11	97.15	134.43	93.94	71.14	112.86	182.86	182.82	72.69	104.83	112.78	40.89	108.95	103.33	102.64	108.28	95	100.81	85	187.75	283.28	76.81	116.3	117.44	75.33	105.76	131.74	92.61	120.82	133.18	213	143.74	138.91	82.81	61.81	100.6	71.93	74.18	115.25
TMCC2	165.47	287.6	97.77	418.69	316.06	344.67	387.02	268.81	411.95	232.83	331.39	236.47	613.28	774.4	193.77	646.68	464.61	110.77	326.34	290.43	180.14	233.69	598.58	209.81	322.78	288.78	497.37	456.9	249.97	211.75	476.2	453.65	219.87	277.16	283.6	546.21	319.83	500.42	509.65	596.14	457.16	238.19	482.39	257.19	213.48	603.71	172.68	617.37	669.88	349.57
ABCA3	21.66	12.88	29.79	20.19	35.72	10.65	13.06	15.86	35.8	20.61	11.19	27.02	11.91	188.27	44.82	74.02	18.69	21.06	7.67	19.4	366.23	130.2	10.11	72.79	85.62	173.59	144.9	22.05	18.46	159.1	7.44	28.29	76.49	14.48	22	169.9	32.26	26.56	24.24	28.91	23.47	29.76	12.45	41.44	9.08	37.4	3321.13	165.02	29.98	58.05
ESX1	5.59	10.74	10.84	10.8	13.15	11.96	11.23	24.79	11.95	16.64	19.31	8.82	5.67	57.71	4.9	36.38	9.36	15.13	16.01	3.95	12.37	11.41	18.99	8.34	7.21	12.15	33.78	11.77	36.51	13.46	16.54	16.33	9.2	11.13	14.53	9.21	8.57	14.6	10.42	26.23	29.11	12.89	16.33	17.65	13.62	25.32	3.74	23.94	24.87	17.53
GCHFR	136.21	172.1	54.06	103.04	100.12	85.11	108.49	157.13	211.74	78.36	215.45	141.78	126.22	90.46	180.05	142.6	243.99	105.18	172.3	106.58	143.53	114.19	212.13	108.21	126.22	112.79	117.69	100.8	192.56	130.62	94.11	167.1	159.56	192.85	178.44	81.65	103.98	54.65	138.02	53.7	129.94	60.87	149.74	195.84	215.66	113.9	30.44	136.88	185.56	63.9
TMEM62	73.16	57.21	81.56	46.95	59.48	59.26	50.27	76.92	73.54	389.67	47.72	97.16	46.67	53.42	79.49	82.62	125	74.2	69.63	77.95	63.84	71.85	60.73	69.91	225.89	775.87	99.81	87.12	466.4	344.45	54.5	177.62	413.16	72.33	57.88	60.24	288.24	61.69	66.32	76.86	90.06	70.11	59.45	86.91	84.72	95.63	85.88	89.21	78.3	918.78
RHOB	41.76	28.45	41.33	49.17	26.18	36.97	21.55	36.97	23.49	30.5	37.55	34.62	15.46	56.66	38.96	21.16	47.46	31.09	38.04	65.63	20.07	30.43	17.84	28.76	25.83	20.99	27.09	38.33	55.89	44.99	31.32	42.89	28.98	45.76	34.32	24.64	43.41	33.26	35.64	58.08	34.06	70.23	36.36	19.71	50.03	39.54	46.1	22.22	46.94	13.34
P2RX4	12.71	8.66	474.05	15.7	4.38	3.48	1.5	4.03	8.97	7.45	6.27	6.01	3.83	6.95	10.02	2.2	3.62	5.92	2.19	3.25	7.33	6.69	2.16	2.07	2.23	4.76	3.23	2.61	6.26	6.53	8.11	3.17	1.98	12.44	5	3.44	11.17	5.85	2.13	9.31	5.19	219.6	10.43	2.8	2.22	18.99	3.34	9.24	11.89	15.48
ANXA2	427.36	261.41	261.76	461.54	222.89	404.4	402.71	183.98	467.96	489	337.16	411.88	428.72	1042.32	383.33	1255.96	571.62	417.85	629.71	454.8	206.38	233.29	546.59	747.18	244.34	316.59	1361.93	268.73	262.37	188.32	247.68	372.12	380.85	521.79	225.2	253.49	377.52	613.38	500.63	841.8	843.87	156.01	342.07	162.52	239.4	721.18	346.39	820.67	687.54	248.97
SENP7	116.2	103.05	96.73	78.1	117.5	93.1	112.38	141.88	90.39	138.8	88.01	105.47	103.06	125.37	97.6	122.45	115.45	129.94	119.06	148.25	106.74	105.54	129.41	106.37	173.89	89.16	109.9	124.39	98.47	519.74	128.77	138.07	119.75	139.79	121.51	108.26	112.07	128.49	98.2	244.04	141.82	96.16	129.99	113.84	110.03	233	120.84	161.92	140.74	68.78
